,exp,k
132,20220819,355.0
133,20220819,360.0
134,20220819,365.0
135,20220819,370.0
136,20220819,375.0
137,20220819,380.0
138,20220819,385.0
139,20220819,390.0
140,20220819,395.0
141,20220819,400.0
142,20220819,410.0
143,20220819,420.0
144,20220819,430.0
145,20220819,440.0
146,20220819,450.0
147,20220819,460.0
148,20220826,160.0
149,20220826,165.0
150,20220826,170.0
151,20220826,175.0
152,20220826,180.0
153,20220826,185.0
154,20220826,190.0
155,20220826,195.0
156,20220826,200.0
157,20220826,205.0
158,20220826,210.0
159,20220826,215.0
160,20220826,220.0
161,20220826,225.0
162,20220826,230.0
163,20220826,235.0
164,20220826,240.0
165,20220826,245.0
166,20220826,250.0
167,20220826,255.0
168,20220826,257.5
169,20220826,260.0
170,20220826,262.5
171,20220826,265.0
172,20220826,267.5
173,20220826,270.0
174,20220826,272.5
175,20220826,275.0
176,20220826,277.5
177,20220826,280.0
178,20220826,282.5
179,20220826,285.0
180,20220826,287.5
181,20220826,290.0
182,20220826,292.5
183,20220826,295.0
184,20220826,297.5
185,20220826,300.0
186,20220826,302.5
187,20220826,305.0
188,20220826,310.0
189,20220826,315.0
190,20220826,320.0
191,20220826,325.0
192,20220826,330.0
193,20220826,335.0
194,20220826,340.0
195,20220826,345.0
196,20220826,350.0
197,20220826,355.0
198,20220826,360.0
199,20220826,370.0
200,20220826,380.0
201,20220902,160.0
202,20220902,165.0
203,20220902,170.0
204,20220902,175.0
205,20220902,180.0
206,20220902,185.0
207,20220902,190.0
208,20220902,195.0
209,20220902,200.0
210,20220902,205.0
211,20220902,210.0
212,20220902,215.0
213,20220902,220.0
214,20220902,225.0
215,20220902,230.0
216,20220902,235.0
217,20220902,240.0
218,20220902,245.0
219,20220902,250.0
220,20220902,255.0
221,20220902,260.0
222,20220902,265.0
223,20220902,270.0
224,20220902,275.0
225,20220902,280.0
226,20220902,285.0
227,20220902,290.0
228,20220902,290.0
229,20220902,295.0
230,20220902,300.0
231,20220902,305.0
232,20220902,310.0
233,20220902,310.0
234,20220902,315.0
235,20220902,320.0
236,20220902,325.0
237,20220902,330.0
238,20220902,335.0
239,20220902,340.0
240,20220902,345.0
241,20220902,350.0
242,20220902,355.0
243,20220902,360.0
244,20220902,370.0
245,20220902,380.0
246,20220909,160.0
247,20220909,165.0
248,20220909,170.0
249,20220909,175.0
250,20220909,180.0
251,20220909,185.0
252,20220909,190.0
253,20220909,195.0
254,20220909,200.0
255,20220909,205.0
256,20220909,210.0
257,20220909,215.0
258,20220909,220.0
259,20220909,225.0
260,20220909,230.0
261,20220909,235.0
262,20220909,240.0
263,20220909,245.0
264,20220909,250.0
265,20220909,255.0
266,20220909,260.0
267,20220909,265.0
268,20220909,270.0
269,20220909,275.0
270,20220909,280.0
271,20220909,285.0
272,20220909,290.0
273,20220909,295.0
274,20220909,300.0
275,20220909,305.0
276,20220909,310.0
277,20220909,315.0
278,20220909,320.0
279,20220909,325.0
280,20220909,330.0
281,20220909,335.0
282,20220909,340.0
283,20220909,345.0
284,20220909,350.0
285,20220909,355.0
286,20220909,360.0
287,20220909,370.0
288,20220909,380.0
289,20220916,80.0
290,20220916,85.0
291,20220916,90.0
292,20220916,95.0
293,20220916,100.0
294,20220916,105.0
295,20220916,110.0
296,20220916,115.0
297,20220916,120.0
298,20220916,125.0
299,20220916,130.0
300,20220916,135.0
301,20220916,140.0
302,20220916,145.0
303,20220916,150.0
304,20220916,155.0
305,20220916,160.0
306,20220916,165.0
307,20220916,170.0
308,20220916,175.0
309,20220916,180.0
310,20220916,185.0
311,20220916,190.0
312,20220916,195.0
313,20220916,199.5
314,20220916,200.0
315,20220916,205.0
316,20220916,210.0
317,20220916,215.0
318,20220916,220.0
319,20220916,225.0
320,20220916,230.0
321,20220916,235.0
322,20220916,240.0
323,20220916,245.0
324,20220916,250.0
325,20220916,255.0
326,20220916,260.0
327,20220916,265.0
328,20220916,270.0
329,20220916,275.0
330,20220916,280.0
331,20220916,285.0
332,20220916,290.0
333,20220916,290.0
334,20220916,295.0
335,20220916,300.0
336,20220916,305.0
337,20220916,310.0
338,20220916,315.0
339,20220916,320.0
340,20220916,325.0
341,20220916,330.0
342,20220916,335.0
343,20220916,340.0
344,20220916,345.0
345,20220916,350.0
346,20220916,355.0
347,20220916,360.0
348,20220916,365.0
349,20220916,370.0
350,20220916,375.0
351,20220916,380.0
352,20220916,385.0
353,20220916,390.0
354,20220916,395.0
355,20220916,400.0
356,20220916,405.0
357,20220916,410.0
358,20220916,415.0
359,20220916,420.0
360,20220916,425.0
361,20220916,430.0
362,20220916,435.0
363,20220916,440.0
364,20220916,450.0
365,20220916,460.0
366,20220916,470.0
367,20220916,480.0
368,20220916,490.0
369,20220916,500.0
370,20220916,520.0
371,20220923,160.0
372,20220923,165.0
373,20220923,170.0
374,20220923,175.0
375,20220923,180.0
376,20220923,185.0
377,20220923,190.0
378,20220923,195.0
379,20220923,200.0
380,20220923,205.0
381,20220923,210.0
382,20220923,215.0
383,20220923,220.0
384,20220923,225.0
385,20220923,230.0
386,20220923,235.0
387,20220923,240.0
