historical,1,2,4,7,11,16,22,29
1,0.4,0.357143,0.314286,0.271429,0.228571,0.185714,0.142857,0.1
5,0.3,0.285714,0.271429,0.257143,0.242857,0.228571,0.214286,0.2
22,0.2,0.214286,0.228571,0.242857,0.257143,0.271429,0.285714,0.3
252,0.1,0.142857,0.185714,0.228571,0.271429,0.314286,0.357143,0.4
