,date,open,high,low,close,volume,average,barCount
0,2021-02-19 15:48:15,262.04,262.1,261.05,261.62,11339.16,261.575,7095
1,2021-02-22 09:30:00,257.95,261.7,257.53,260.43,17667.49,259.734,8983
2,2021-02-22 10:00:00,260.33,262.01,257.58,258.04,18892.48,259.702,10374
3,2021-02-22 11:00:00,258.01,261.05,257.82,260.69,14461.03,259.548,8138
4,2021-02-22 12:00:00,260.67,260.73,259.59,260.6,10786.54,260.174,5691
5,2021-02-22 13:00:00,260.61,262.67,260.5,262.24,10811.73,261.708,6017
6,2021-02-22 14:00:00,262.23,263.07,261.79,262.38,10422.68,262.469,5477
7,2021-02-22 15:00:00,262.4,262.48,260.1,260.33,22471.94,261.193,13932
8,2021-02-23 09:30:00,259.51,261.82,254.96,258.97,26853.4,258.234,13247
9,2021-02-23 10:00:00,258.91,265.09,258.06,263.43,44224.43,263.154,25488
10,2021-02-23 11:00:00,263.39,265.62,262.29,262.95,18517.12,263.956,10993
11,2021-02-23 12:00:00,262.96,263.98,260.86,261.5,14349.26,262.407,8056
12,2021-02-23 13:00:00,261.46,264.39,261.1,264.02,11868.8,263.372,6983
13,2021-02-23 14:00:00,263.99,265.28,263.59,265.28,12455.83,264.465,7366
14,2021-02-23 15:00:00,265.27,267.46,264.76,265.86,27573.45,266.164,17793
15,2021-02-24 09:30:00,262.42,264.38,259.62,260.38,20507.12,261.967,11115
16,2021-02-24 10:00:00,260.45,261.55,258.39,261.38,19562.41,260.047,11241
17,2021-02-24 11:00:00,261.37,263.16,260.79,263.08,11209.24,262.2,6598
18,2021-02-24 12:00:00,263.04,265.2,262.93,264.28,11962.16,264.254,6439
19,2021-02-24 13:00:00,264.28,266.38,263.71,266.29,12724.4,265.361,7352
20,2021-02-24 14:00:00,266.31,266.38,264.77,265.4,9803.2,265.419,5689
21,2021-02-24 15:00:00,265.44,266.06,264.15,264.34,17215.62,265.008,10868
22,2021-02-25 09:30:00,262.29,266.94,262.25,266.04,20472.82,265.003,10241
23,2021-02-25 10:00:00,266.08,266.32,260.9,262.36,18477.12,263.314,10177
24,2021-02-25 11:00:00,262.3,262.72,259.2,259.31,11999.78,261.0,7218
25,2021-02-25 12:00:00,259.3,259.85,256.0,256.7,15173.66,258.212,8976
26,2021-02-25 13:00:00,256.61,258.34,255.55,256.67,15509.53,257.247,9750
27,2021-02-25 14:00:00,256.64,259.53,256.33,256.86,12275.37,257.999,7482
28,2021-02-25 15:00:00,256.8,257.28,254.04,254.67,27646.22,255.363,18683
29,2021-02-26 09:30:00,256.48,261.87,256.47,258.18,22661.71,259.104,11499
30,2021-02-26 10:00:00,258.1,261.34,256.5,260.62,22549.7,258.636,13568
31,2021-02-26 11:00:00,260.68,264.22,260.08,263.96,21788.26,262.609,13323
32,2021-02-26 12:00:00,263.98,265.55,263.22,263.67,15821.11,264.572,10236
33,2021-02-26 13:00:00,263.63,265.3,262.37,262.58,10744.61,263.708,7144
34,2021-02-26 14:00:00,262.61,264.23,261.71,264.1,11422.45,262.882,7244
35,2021-02-26 15:00:00,264.18,265.11,256.95,257.29,46037.82,260.999,28118
36,2021-03-01 09:30:00,260.93,261.16,257.9,259.76,32280.32,259.303,18578
37,2021-03-01 10:00:00,259.8,262.03,258.39,261.33,24862.85,260.219,14321
38,2021-03-01 11:00:00,261.33,261.76,259.99,260.33,16286.75,260.938,10250
39,2021-03-01 12:00:00,260.31,262.57,260.25,261.58,16321.1,261.759,7696
40,2021-03-01 13:00:00,261.59,262.52,260.42,262.42,8877.77,261.728,4781
41,2021-03-01 14:00:00,262.45,266.43,262.41,266.18,15442.08,264.872,8722
42,2021-03-01 15:00:00,266.23,266.65,264.08,264.39,30373.72,265.177,17338
43,2021-03-02 09:30:00,265.51,266.14,263.13,264.36,13208.36,264.806,6899
44,2021-03-02 10:00:00,264.28,266.71,263.59,264.22,15691.37,265.083,8313
45,2021-03-02 11:00:00,264.19,264.65,262.94,263.6,12131.29,263.706,5732
46,2021-03-02 12:00:00,263.64,265.57,263.34,264.72,6952.31,264.57,3694
47,2021-03-02 13:00:00,264.76,266.01,264.64,265.06,7924.24,265.507,4027
48,2021-03-02 14:00:00,265.07,265.35,262.55,263.09,11525.11,263.644,5532
49,2021-03-02 15:00:00,263.12,263.47,258.65,258.95,26862.81,260.575,15757
50,2021-03-03 09:30:00,260.48,260.99,257.11,257.31,16413.38,259.172,9796
51,2021-03-03 10:00:00,257.22,259.37,256.42,258.92,17342.91,257.558,10739
52,2021-03-03 11:00:00,258.87,260.9,258.73,258.86,13559.59,259.72,7224
53,2021-03-03 12:00:00,258.83,258.97,256.53,256.54,10144.17,257.585,6033
54,2021-03-03 13:00:00,256.54,257.78,255.56,256.06,10897.89,256.605,6402
55,2021-03-03 14:00:00,256.05,257.75,255.1,257.54,13250.04,256.232,7429
56,2021-03-03 15:00:00,257.56,257.72,255.24,255.44,17444.57,256.339,11545
57,2021-03-04 09:30:00,256.5,259.44,256.19,258.18,20851.96,257.961,10734
58,2021-03-04 10:00:00,258.2,263.27,255.5,261.33,31897.32,259.158,19147
59,2021-03-04 11:00:00,261.31,266.49,261.13,264.12,33611.03,264.397,19130
60,2021-03-04 12:00:00,264.19,265.29,256.69,257.69,30787.31,261.453,18327
61,2021-03-04 13:00:00,257.64,259.3,253.5,253.57,33083.46,256.51,18845
62,2021-03-04 14:00:00,253.52,260.09,253.52,258.95,30219.32,256.871,16610
63,2021-03-04 15:00:00,258.96,259.5,256.27,257.59,36526.04,258.012,24390
64,2021-03-05 09:30:00,260.88,261.28,257.7,259.48,28403.67,259.432,15716
65,2021-03-05 10:00:00,259.52,261.69,258.0,259.42,33237.95,260.011,18500
66,2021-03-05 11:00:00,259.45,259.99,255.61,257.66,23574.15,257.379,13287
67,2021-03-05 12:00:00,257.49,261.39,255.85,261.32,23375.59,258.553,13078
68,2021-03-05 13:00:00,261.28,261.97,258.72,260.36,15160.12,260.816,8888
69,2021-03-05 14:00:00,260.34,263.15,259.5,263.0,16024.32,261.424,9401
70,2021-03-05 15:00:00,263.0,265.45,263.0,264.28,37481.07,264.418,22618
71,2021-03-08 09:30:00,265.59,265.59,260.9,261.16,23253.42,263.413,12202
72,2021-03-08 10:00:00,261.13,264.67,260.8,262.93,19301.87,262.977,11271
73,2021-03-08 11:00:00,262.79,264.14,260.9,260.96,10466.08,262.566,6325
74,2021-03-08 12:00:00,260.99,261.77,259.64,259.7,12353.69,260.845,6742
75,2021-03-08 13:00:00,259.67,260.55,257.6,257.6,12104.99,259.241,6138
76,2021-03-08 14:00:00,257.61,259.64,257.37,258.45,14347.32,258.483,7763
77,2021-03-08 15:00:00,258.37,258.45,255.05,255.44,22212.5,256.709,14467
78,2021-03-09 09:30:00,261.22,263.43,259.81,263.0,25972.58,261.628,12507
79,2021-03-09 10:00:00,263.08,265.49,262.99,263.65,26098.08,264.37,12859
80,2021-03-09 11:00:00,263.61,266.62,263.46,265.0,16583.29,265.279,8968
81,2021-03-09 12:00:00,265.07,265.93,264.55,265.93,11231.46,265.265,5568
82,2021-03-09 13:00:00,265.92,268.53,265.88,268.38,18625.69,267.561,9828
83,2021-03-09 14:00:00,268.42,268.46,267.11,267.28,10836.82,267.754,6789
84,2021-03-09 15:00:00,267.26,268.16,265.14,265.74,24014.3,266.941,15089
85,2021-03-10 09:30:00,268.64,268.97,265.73,266.43,16376.59,267.236,8761
86,2021-03-10 10:00:00,266.53,268.09,262.87,263.85,21493.79,265.412,12072
87,2021-03-10 11:00:00,263.88,265.58,263.4,265.24,9496.72,264.484,4647
88,2021-03-10 12:00:00,265.26,265.6,263.9,265.44,6715.26,264.949,4257
89,2021-03-10 13:00:00,265.54,265.64,263.43,264.24,11622.73,264.664,6717
90,2021-03-10 14:00:00,264.15,266.3,263.92,265.92,8629.25,265.23,4769
91,2021-03-10 15:00:00,265.88,266.19,264.37,264.91,15145.23,265.329,9834
92,2021-03-11 09:30:00,267.87,273.5,267.82,273.11,30487.91,271.775,14905
93,2021-03-11 10:00:00,273.14,274.52,271.29,274.08,18326.31,273.506,11179
94,2021-03-11 11:00:00,274.08,274.95,273.81,274.88,15770.92,274.369,9410
95,2021-03-11 12:00:00,274.88,276.34,274.33,276.21,19948.13,275.577,10624
96,2021-03-11 13:00:00,276.22,277.9,275.5,276.59,19957.63,277.058,10810
97,2021-03-11 14:00:00,276.6,276.89,274.68,274.85,11625.6,275.914,7291
98,2021-03-11 15:00:00,274.85,274.97,273.29,273.87,26938.34,274.177,16915
99,2021-03-12 09:30:00,269.14,269.44,266.41,267.88,26454.8,267.767,14355
100,2021-03-12 10:00:00,267.88,267.91,264.02,264.58,31707.77,265.583,19320
101,2021-03-12 11:00:00,264.58,266.21,264.21,266.16,14904.27,265.45,9903
102,2021-03-12 12:00:00,266.2,267.68,265.72,266.25,15983.73,266.762,9124
103,2021-03-12 13:00:00,266.26,266.67,265.59,265.9,11368.09,266.097,6662
104,2021-03-12 14:00:00,265.93,267.57,265.75,267.39,10653.72,266.703,6567
105,2021-03-12 15:00:00,267.42,269.74,266.79,268.44,25162.89,268.265,15415
106,2021-03-15 09:30:00,269.16,274.2,268.5,272.89,19655.94,272.147,10371
107,2021-03-15 10:00:00,272.88,273.25,271.4,272.54,16492.05,272.228,9386
108,2021-03-15 11:00:00,272.56,273.12,270.94,271.74,10600.11,271.93,6547
109,2021-03-15 12:00:00,271.7,273.12,271.6,273.0,10003.16,272.35,5669
110,2021-03-15 13:00:00,272.99,273.25,271.75,272.53,11170.18,272.297,5593
111,2021-03-15 14:00:00,272.53,275.96,272.39,275.13,17816.25,274.606,8930
112,2021-03-15 15:00:00,275.14,275.14,272.3,273.75,23089.77,273.452,14474
113,2021-03-16 09:30:00,275.99,279.27,274.8,279.09,21461.85,277.598,10645
114,2021-03-16 10:00:00,279.09,282.13,278.35,282.03,29437.19,280.007,15294
115,2021-03-16 11:00:00,282.02,282.14,279.84,280.76,20857.67,280.927,10714
116,2021-03-16 12:00:00,280.76,281.24,278.33,279.22,15808.72,279.513,9423
117,2021-03-16 13:00:00,279.25,281.23,279.23,280.78,13972.73,280.611,8369
118,2021-03-16 14:00:00,280.81,281.61,277.9,279.69,22292.55,280.053,10374
119,2021-03-16 15:00:00,279.73,281.56,278.91,279.13,26561.12,280.332,15674
120,2021-03-17 09:30:00,275.93,279.18,275.41,279.07,14880.65,277.223,8480
121,2021-03-17 10:00:00,279.07,281.91,278.69,279.61,24085.05,280.302,13701
122,2021-03-17 11:00:00,279.62,279.91,277.74,278.56,16851.65,278.977,10471
123,2021-03-17 12:00:00,278.53,279.48,277.83,278.57,11126.89,278.797,6753
124,2021-03-17 13:00:00,278.53,279.97,278.38,279.62,10609.44,279.269,6509
125,2021-03-17 14:00:00,279.63,286.23,279.63,286.0,37837.18,283.633,21626
126,2021-03-17 15:00:00,285.99,286.17,282.78,284.02,30049.67,284.4,19568
127,2021-03-18 09:30:00,279.73,283.05,279.48,282.15,14692.96,280.79,8438
128,2021-03-18 10:00:00,282.09,282.27,279.98,281.74,15603.53,281.208,9067
129,2021-03-18 11:00:00,281.77,284.49,281.6,283.2,19181.31,283.261,11259
130,2021-03-18 12:00:00,283.2,284.45,282.05,282.38,12625.49,283.536,7495
131,2021-03-18 13:00:00,282.35,285.19,282.29,284.86,13112.02,284.047,7123
132,2021-03-18 14:00:00,284.9,284.98,280.33,281.0,18138.43,282.145,10755
133,2021-03-18 15:00:00,280.98,281.74,278.28,278.55,26475.47,279.759,18225
134,2021-03-19 09:30:00,281.21,286.53,281.19,286.12,47552.41,283.556,17370
135,2021-03-19 10:00:00,286.13,291.5,284.94,290.51,62978.79,288.672,32775
136,2021-03-19 11:00:00,290.51,291.71,289.51,290.96,27324.74,290.712,15817
137,2021-03-19 12:00:00,290.97,292.8,289.94,290.24,29634.56,291.397,15237
138,2021-03-19 13:00:00,290.27,291.45,288.95,289.92,24313.34,290.142,13810
139,2021-03-19 14:00:00,289.92,291.61,288.83,291.42,20450.08,290.137,12695
140,2021-03-19 15:00:00,291.39,291.53,288.65,290.12,43454.57,289.882,27462
141,2021-03-22 09:30:00,290.45,294.2,286.75,293.93,33634.32,290.847,16077
142,2021-03-22 10:00:00,294.0,295.31,291.46,294.47,30521.19,293.543,15159
143,2021-03-22 11:00:00,294.47,296.35,293.58,296.28,25730.78,294.988,12479
144,2021-03-22 12:00:00,296.33,299.64,296.26,299.39,36015.42,298.218,17331
145,2021-03-22 13:00:00,299.39,299.71,297.45,298.37,16856.41,298.542,9211
146,2021-03-22 14:00:00,298.38,298.77,297.64,297.99,11319.13,298.242,6158
147,2021-03-22 15:00:00,297.99,298.05,293.3,293.54,32008.06,295.285,17404
148,2021-03-23 09:30:00,293.15,295.73,291.09,291.84,20508.17,292.946,10500
149,2021-03-23 10:00:00,291.82,297.43,291.5,297.43,33463.72,295.196,15742
150,2021-03-23 11:00:00,297.4,298.0,295.26,296.19,19354.42,296.868,11121
151,2021-03-23 12:00:00,296.18,296.78,294.23,295.98,14879.07,295.266,8653
152,2021-03-23 13:00:00,295.94,296.45,293.38,294.13,13393.96,294.903,7000
153,2021-03-23 14:00:00,294.16,295.85,293.42,293.49,15708.45,294.679,7755
154,2021-03-23 15:00:00,293.48,294.24,289.81,290.59,32477.94,291.641,17831
155,2021-03-24 09:30:00,291.0,291.72,288.35,289.55,14531.36,290.027,7776
156,2021-03-24 10:00:00,289.49,291.25,288.41,290.23,20088.21,289.899,9879
157,2021-03-24 11:00:00,290.16,291.05,285.62,286.13,20019.3,288.376,11133
158,2021-03-24 12:00:00,286.12,287.5,285.65,285.91,13700.97,286.567,7593
159,2021-03-24 13:00:00,285.82,286.0,283.59,285.8,17493.25,284.911,9870
160,2021-03-24 14:00:00,285.8,285.97,283.15,283.22,15144.27,284.75,7931
161,2021-03-24 15:00:00,283.24,283.78,281.16,282.14,25741.16,282.752,16781
162,2021-03-25 09:30:00,281.11,286.41,279.7,284.91,27548.1,283.909,13776
163,2021-03-25 10:00:00,284.95,288.06,280.56,282.15,34541.33,284.718,18698
164,2021-03-25 11:00:00,282.05,282.25,278.67,280.4,19514.97,280.575,12832
165,2021-03-25 12:00:00,280.37,282.85,279.22,281.16,19720.83,281.069,11964
166,2021-03-25 13:00:00,281.14,281.64,279.36,279.56,12793.92,280.479,8772
167,2021-03-25 14:00:00,279.53,280.66,278.12,280.45,14695.08,279.238,9062
168,2021-03-25 15:00:00,280.44,281.98,277.75,278.74,29765.01,279.765,19583
169,2021-03-26 09:30:00,278.73,282.41,278.25,280.85,16293.21,280.941,8363
170,2021-03-26 10:00:00,280.93,282.71,279.4,280.37,15716.02,280.833,8902
171,2021-03-26 11:00:00,280.39,282.38,279.66,282.38,12195.93,280.917,7665
172,2021-03-26 12:00:00,282.36,284.05,281.53,283.0,13191.86,282.99,7684
173,2021-03-26 13:00:00,282.98,284.5,281.88,282.24,11812.46,283.238,6931
174,2021-03-26 14:00:00,282.25,282.31,277.77,279.69,19803.08,279.454,11423
175,2021-03-26 15:00:00,279.66,283.12,279.14,283.0,19327.71,281.501,12351
176,2021-03-29 09:30:00,286.0,289.35,284.7,286.65,25369.71,287.473,12269
177,2021-03-29 10:00:00,286.7,289.24,285.8,288.21,19828.78,287.473,11102
178,2021-03-29 11:00:00,288.19,288.85,286.26,287.97,12313.07,287.805,7353
179,2021-03-29 12:00:00,287.99,289.88,286.54,289.77,13976.95,287.977,7485
180,2021-03-29 13:00:00,289.81,293.15,289.78,293.0,25095.08,291.594,12488
181,2021-03-29 14:00:00,293.01,293.18,289.4,290.25,22412.69,290.864,11679
182,2021-03-29 15:00:00,290.29,292.08,290.1,290.9,28191.51,291.068,15992
183,2021-03-30 09:30:00,289.76,291.94,289.7,291.45,18837.08,290.563,10074
184,2021-03-30 10:00:00,291.43,292.47,289.24,290.19,26029.9,290.802,13439
185,2021-03-30 11:00:00,290.22,290.98,288.12,288.63,14285.71,289.392,7664
186,2021-03-30 12:00:00,288.59,289.9,287.9,289.27,15234.23,289.029,7355
187,2021-03-30 13:00:00,289.25,289.83,288.26,289.63,10991.59,289.3,5846
188,2021-03-30 14:00:00,289.61,290.25,288.47,288.82,12043.46,289.337,6362
189,2021-03-30 15:00:00,288.78,288.94,286.7,288.0,23034.16,288.054,13262
190,2021-03-31 09:30:00,290.0,292.14,288.61,291.57,15395.61,290.383,7848
191,2021-03-31 10:00:00,291.58,295.34,290.82,294.66,24895.34,293.429,12133
192,2021-03-31 11:00:00,294.64,295.4,293.81,295.27,12351.73,294.598,7369
193,2021-03-31 12:00:00,295.27,296.31,294.91,295.88,11303.78,295.591,6525
194,2021-03-31 13:00:00,295.86,296.5,295.06,295.95,8156.52,295.802,4761
195,2021-03-31 14:00:00,295.93,296.19,294.41,295.96,15352.12,295.146,7145
196,2021-03-31 15:00:00,295.94,296.21,293.92,294.53,30817.72,294.944,17753
197,2021-04-01 09:30:00,298.69,302.4,298.4,301.53,35928.82,300.649,17602
198,2021-04-01 10:00:00,301.53,301.53,298.07,299.08,23289.32,299.683,12991
199,2021-04-01 11:00:00,299.05,300.01,298.35,298.83,13121.16,299.14,6851
200,2021-04-01 12:00:00,298.8,299.54,298.35,298.8,10183.78,298.9,5638
201,2021-04-01 13:00:00,298.83,299.05,296.6,297.37,12239.02,297.647,6329
202,2021-04-01 14:00:00,297.33,298.51,297.11,298.25,8130.35,297.841,5258
203,2021-04-01 15:00:00,298.25,298.97,297.31,298.66,17858.49,298.237,11795
204,2021-04-05 09:30:00,300.89,307.21,300.68,306.35,41658.1,303.839,20101
